Date : 2022-10-01 22:05:42
Directory : c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE
Total : 194 files,  1374 codes, 257 comments, 380 blanks, all 2011 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| MONTH_1\DAY_3                                                                                                                             |          7 |        140 |          2 |         42 |        184 |
| MONTH_1\DAY_30                                                                                                                            |          1 |         31 |          0 |          9 |         40 |
| MONTH_1\DAY_4                                                                                                                             |          5 |        109 |          2 |         29 |        140 |
| MONTH_1\DAY_5                                                                                                                             |          5 |         88 |          0 |         20 |        108 |
| MONTH_1\DAY_6                                                                                                                             |          5 |        101 |          0 |         21 |        122 |
| MONTH_1\DAY_7                                                                                                                             |          3 |         74 |          2 |          9 |         85 |
| MONTH_1\DAY_8                                                                                                                             |          3 |         81 |          2 |         13 |         96 |
| MONTH_1\DAY_9                                                                                                                             |          1 |         52 |         15 |         11 |         78 |
| MONTH_2                                                                                                                                   |          8 |        171 |         23 |         36 |        230 |
| MONTH_2\DAY_31                                                                                                                            |          1 |         35 |          0 |          7 |         42 |
| MONTH_2\DAY_32                                                                                                                            |          2 |         51 |          0 |         10 |         61 |
| MONTH_2\DAY_33                                                                                                                            |          2 |         34 |         23 |          8 |         65 |
| MONTH_2\DAY_34                                                                                                                            |          1 |         21 |          0 |          5 |         26 |
| MONTH_2\DAY_35                                                                                                                            |          2 |         30 |          0 |          6 |         36 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                  | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_10\longestPalindromeByConcatenatingTwoLetterWords.py         | Python   |        -27 |          0 |         -3 |        -30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_10\oddEvenLinkedList.py                                      | Python   |        -39 |          0 |        -13 |        -52 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_10\sortList.py                                               | Python   |        -60 |          0 |        -11 |        -71 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_10\ww_trainingMergeSort.py                                   | Python   |        -21 |          0 |         -5 |        -26 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_11\TreeManager.py                                            | Python   |        -47 |          0 |        -20 |        -67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_11\balancedBinaryTree.py                                     | Python   |        -16 |        -16 |         -7 |        -39 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_11\diameterOfBinaryTree.py                                   | Python   |        -18 |          0 |         -7 |        -25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_11\invertBinaryTree.py                                       | Python   |         -8 |          0 |         -2 |        -10 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_11\taskScheduler.py                                          | Python   |        -24 |          0 |         -7 |        -31 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\TreeManager.py                                            | Python   |        -47 |          0 |        -20 |        -67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\binarySearchTreeIterator.py                               | Python   |        -25 |          0 |        -10 |        -35 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\convertSortedArrayToBST.py                                | Python   |        -10 |          0 |         -6 |        -16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\kthSmallestElementInBST.py                                | Python   |        -18 |          0 |         -9 |        -27 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\pathSum3.py                                               | Python   |        -23 |          0 |        -12 |        -35 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\search2DMatrix.py                                         | Python   |        -25 |         -1 |         -4 |        -30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_12\searchInRotatedSortedArray.py                             | Python   |        -23 |         -1 |         -5 |        -29 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_13\rottingOranges.py                                         | Python   |        -38 |          0 |         -9 |        -47 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_14\courseSchedule2.py                                        | Python   |        -28 |         -6 |         -8 |        -42 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_14\pacificAtlanticWaterFlow.py                               | Python   |        -44 |         -4 |         -9 |        -57 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_15\busRoutes.py                                              | Python   |        -36 |        -61 |        -37 |       -134 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_15\coinChange.py                                             | Python   |        -12 |         -9 |         -4 |        -25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_15\houseRobber.py                                            | Python   |         -9 |          0 |          0 |         -9 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_15\partitionEqualSubsetSum.py                                | Python   |        -17 |          0 |         -3 |        -20 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_16\longestSubstringWithoutRepeatingCharacters.py             | Python   |        -16 |          0 |         -2 |        -18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_16\maximumProductSubarray.py                                 | Python   |        -13 |        -36 |         -7 |        -56 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\TreeManager.py                                            | Python   |        -47 |          0 |        -20 |        -67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\threeSum.py                                               | Python   |        -28 |          0 |         -6 |        -34 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\threeSumClosest.py                                        | Python   |        -25 |          0 |         -6 |        -31 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\twoSum2withSortedArray.py                                 | Python   |         -9 |          0 |          0 |         -9 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\twoSum3DataStructureDesign.py                             | Python   |        -16 |         -4 |         -5 |        -25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\twoSum4inputIsBST.py                                      | Python   |        -15 |          0 |         -3 |        -18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_17\twoSumLessThanK.py                                        | Python   |        -17 |          0 |         -1 |        -18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_1\findPivotIndex.py                                          | Python   |        -13 |          0 |         -3 |        -16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_1\isSubsequence.py                                           | Python   |        -15 |        -17 |         -5 |        -37 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_1\isomorphicStrings.py                                       | Python   |        -15 |        -15 |         -6 |        -36 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_1\mergeTwoSortedLists.py                                     | Python   |        -20 |        -28 |        -10 |        -58 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_1\runningSumOf1DArray.py                                     | Python   |         -6 |        -10 |         -4 |        -20 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_2\linkedListCycle2.py                                        | Python   |        -38 |         -4 |        -11 |        -53 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_2\middleOfLinkedList.py                                      | Python   |        -36 |         -2 |        -13 |        -51 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_2\reverseLinkedList.py                                       | Python   |        -34 |        -16 |        -15 |        -65 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\bestTimeToBuyAndSellStock.py                               | Python   |        -14 |          0 |         -4 |        -18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\binarySearch.py                                            | Python   |        -26 |          0 |         -5 |        -31 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\binaryTreeLevelOrderTraversal.py                           | Python   |        -21 |          0 |        -11 |        -32 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\firstBadVersion.py                                         | Python   |        -24 |         -1 |         -4 |        -29 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\longestPalindrome.py                                       | Python   |        -17 |          0 |         -4 |        -21 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\n_aryTreePreOrderTraversal.py                              | Python   |        -19 |          0 |         -7 |        -26 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_3\validateBinarySearchTree.py                                | Python   |        -19 |         -1 |         -7 |        -27 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_4\climbStairs.py                                             | Python   |        -13 |          0 |         -3 |        -16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_4\fibonacciNumber.py                                         | Python   |        -19 |          0 |         -3 |        -22 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_4\floodFill.py                                               | Python   |        -25 |          0 |         -5 |        -30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_4\lowestCommonAncestorOfBST.py                               | Python   |        -30 |         -2 |        -11 |        -43 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_4\numberOfIslands.py                                         | Python   |        -22 |          0 |         -7 |        -29 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_5\findAllAnagramsInAString.py                                | Python   |        -30 |          0 |         -7 |        -37 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_5\longestRepeatingCharacterReplacement.py                    | Python   |        -26 |          0 |         -3 |        -29 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_5\minCostClimbingStairs.py                                   | Python   |        -11 |          0 |         -4 |        -15 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_5\twoSum.py                                                  | Python   |        -15 |          0 |         -4 |        -19 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_5\uniquePaths.py                                             | Python   |         -6 |          0 |         -2 |         -8 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_6\backspaceStringCompare.py                                  | Python   |        -14 |          0 |         -2 |        -16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_6\bullsAndCows.py                                            | Python   |        -19 |          0 |         -3 |        -22 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_6\decodeString.py                                            | Python   |        -30 |          0 |         -6 |        -36 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_6\lastStoneWeight.py                                         | Python   |        -17 |          0 |         -4 |        -21 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_6\topKFrequentWords.py                                       | Python   |        -21 |          0 |         -6 |        -27 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_7\happyNumber.py                                             | Python   |        -17 |         -2 |         -2 |        -21 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_7\spiralMatrix.py                                            | Python   |        -35 |          0 |         -4 |        -39 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_7\whereWillTheBallFall.py                                    | Python   |        -22 |          0 |         -3 |        -25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_8\longestCommonPrefix.py                                     | Python   |        -30 |         -2 |         -5 |        -37 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_8\multiplyStrings.py                                         | Python   |        -10 |          0 |         -1 |        -11 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_8\removeNthNodeFromEndOfList.py                              | Python   |        -41 |          0 |         -7 |        -48 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\DAY_9\palindromeLinkedList.py                                    | Python   |        -52 |        -15 |        -11 |        -78 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\ListManager.py                                                   | Python   |         22 |          0 |          4 |         26 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_10\longestPalindromeByConcatenatingTwoLetterWords.py | Python   |         27 |          0 |          3 |         30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_10\oddEvenLinkedList.py                              | Python   |         39 |          0 |         13 |         52 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_10\sortList.py                                       | Python   |         60 |          0 |         11 |         71 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_10\ww_trainingMergeSort.py                           | Python   |         21 |          0 |          5 |         26 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_11\TreeManager.py                                    | Python   |         47 |          0 |         20 |         67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_11\balancedBinaryTree.py                             | Python   |         16 |         16 |          7 |         39 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_11\diameterOfBinaryTree.py                           | Python   |         18 |          0 |          7 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_11\invertBinaryTree.py                               | Python   |          8 |          0 |          2 |         10 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_11\taskScheduler.py                                  | Python   |         24 |          0 |          7 |         31 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\TreeManager.py                                    | Python   |         47 |          0 |         20 |         67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\binarySearchTreeIterator.py                       | Python   |         25 |          0 |         10 |         35 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\convertSortedArrayToBST.py                        | Python   |         10 |          0 |          6 |         16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\kthSmallestElementInBST.py                        | Python   |         18 |          0 |          9 |         27 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\pathSum3.py                                       | Python   |         23 |          0 |         12 |         35 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\search2DMatrix.py                                 | Python   |         25 |          1 |          4 |         30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_12\searchInRotatedSortedArray.py                     | Python   |         23 |          1 |          5 |         29 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_13\rottingOranges.py                                 | Python   |         38 |          0 |          9 |         47 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_14\courseSchedule2.py                                | Python   |         28 |          6 |          8 |         42 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_14\pacificAtlanticWaterFlow.py                       | Python   |         44 |          4 |          9 |         57 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_15\busRoutes.py                                      | Python   |         36 |         61 |         37 |        134 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_15\coinChange.py                                     | Python   |         12 |          9 |          4 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_15\houseRobber.py                                    | Python   |          9 |          0 |          0 |          9 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_15\partitionEqualSubsetSum.py                        | Python   |         17 |          0 |          3 |         20 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_16\longestSubstringWithoutRepeatingCharacters.py     | Python   |         16 |          0 |          2 |         18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_16\maximumProductSubarray.py                         | Python   |         13 |         36 |          7 |         56 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\LRUCache.py                                       | Python   |        117 |         11 |         17 |        145 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\TreeManager.py                                    | Python   |         47 |          0 |         20 |         67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\minimumWindowSubstring.py                         | Python   |         28 |          0 |          5 |         33 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\threeSum.py                                       | Python   |         28 |          0 |          6 |         34 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\threeSumClosest.py                                | Python   |         33 |         17 |         11 |         61 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\twoSum2withSortedArray.py                         | Python   |          9 |          0 |          0 |          9 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\twoSum3DataStructureDesign.py                     | Python   |         16 |          4 |          5 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\twoSum4inputIsBST.py                              | Python   |         15 |          0 |          3 |         18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_17\twoSumLessThanK.py                                | Python   |         17 |          0 |          1 |         18 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_18\TreeManager.py                                    | Python   |         47 |          0 |         20 |         67 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_18\binaryTreeRightSideView.py                        | Python   |         25 |          0 |          5 |         30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_18\sameTree.py                                       | Python   |         19 |          0 |          6 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_18\symmetricTree.py                                  | Python   |         20 |          0 |          5 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_19\implementQueueUsingStacks.py                      | Python   |         18 |          6 |          9 |         33 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_19\insertInterval.py                                 | Python   |         19 |         20 |          7 |         46 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_19\mergeIntervals.py                                 | Python   |         11 |          0 |          2 |         13 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_19\minStack.py                                       | Python   |         24 |          0 |          8 |         32 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_19\prefixTrie.py                                     | Python   |         47 |          2 |         10 |         59 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_1\findPivotIndex.py                                  | Python   |         13 |          0 |          3 |         16 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_1\isSubsequence.py                                   | Python   |         15 |         17 |          5 |         37 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_1\isomorphicStrings.py                               | Python   |         15 |         15 |          6 |         36 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_1\mergeTwoSortedLists.py                             | Python   |         20 |         28 |         10 |         58 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_1\runningSumOf1DArray.py                             | Python   |          6 |         10 |          4 |         20 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_20\asteroidCollision.py                              | Python   |         24 |          0 |          3 |         27 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_20\basicCalculator2.py                               | Python   |         34 |          0 |          4 |         38 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_21\mostStonesRemovedWithSameRowAndColumn.py          | Python   |         32 |          0 |          8 |         40 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_21\numberOfProvinces.py                              | Python   |         20 |          0 |          5 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_22\combinationSum.py                                 | Python   |         21 |          0 |          4 |         25 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_22\permutations.py                                   | Python   |         18 |          0 |          4 |         22 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_23\binarySearchFirstOccurrence.py                    | Python   |         34 |          0 |          7 |         41 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_23\deleteAndEarn.py                                  | Python   |         18 |          0 |          6 |         24 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_23\findFirstAndLastPositionOfElementInSortedArray.py | Python   |         26 |          0 |          4 |         30 |
| c:\WW\OneDrive - University College London\SUMMER 2022 PROJECTS\LEETCODE\MONTH_1\DAY_23\houseRobber2.py                                   | Python   |         19 |          0 |          4 |         23 |
